Name,Phone,Email,Location,Subjects,Grade_Level,Tutoring_Approach,Rates_Per_Hour,Mode_of_Tutoring,Experience_Years,Education
Ritesh Sahu,7365688679,ritesh.sahu@gmail.com,Nayagarh,Biology,Only 9th-10th CHSE & CBSE,Interactive and student-centered,785,Online,13,M.A
Riya Samal,8163035106,riya.samal@gmail.com,Mayurbhanj,Informatics Practices,Class 11-12 CBSE,Interactive and student-centered,822,In-person,1,PhD
Surya Mishra,7108514989,surya.mishra@gmail.com,Nabarangpur,Sociology,Only 9th-10th all,Interactive and student-centered,679,Online,16,B.Ed
Zara Maheshwari,7681797795,zara.maheshwari@gmail.com,Dhenkanal,Statistics,Class 11-12 CHSE & CBSE,Interactive and student-centered,427,Online,3,M.A
Gaurav Kumar,7283257944,gaurav.kumar@gmail.com,Bhadrak,Hindi,Class 1-5 CBSE,Interactive and student-centered,679,Both,13,B.Sc
Raghavendra Pradhan,9284697495,raghavendra.pradhan@gmail.com,Mayurbhanj,Geography,Class 1-5 CHSE & CBSE,Interactive and student-centered,538,In-person,12,M.A
Barun Dandapat,8999847167,barun.dandapat@gmail.com,Sambalpur,Mathematics,Class 6-10 all,Interactive and student-centered,773,Both,3,M.Sc
Sonu Dhal,7435106508,sonu.dhal@gmail.com,Nayagarh,Physical Education,Class 6-10 ICSE,Interactive and student-centered,512,In-person,5,B.Sc
Nikhil Bhatia,8657746604,nikhil.bhatia@gmail.com,Sambalpur,Environmental Studies,Class 11-12 CHSE,Interactive and student-centered,541,Both,14,B.Sc
Karthik Barik,7211239382,karthik.barik@gmail.com,Rayagada,Geography,Only 9th-10th CHSE & CBSE,Interactive and student-centered,487,Online,14,M.Sc
Joshi Rathi,7973832817,joshi.rathi@gmail.com,Deogarh,Informatics Practices,Only 9th-10th all,Interactive and student-centered,958,Both,6,PhD
Sanjay Jena,9972190390,sanjay.jena@gmail.com,Dhenkanal,Moral Science,Class 11-12 all,Interactive and student-centered,806,Both,1,M.Sc
Damini Sahu,9504688027,damini.sahu@gmail.com,Balasore,Political Science,Class 1-5 ICSE,Interactive and student-centered,646,In-person,8,M.A
Kalyani Mahajan,8643727698,kalyani.mahajan@gmail.com,Sundargarh,Art and Craft,Class 11-12 ICSE,Interactive and student-centered,393,In-person,4,M.A
Nidhi Rath,9877950305,nidhi.rath@gmail.com,Balasore,History,Class 6-10 all,Interactive and student-centered,606,In-person,8,PhD
Rohit Reddy,9107592845,rohit.reddy@gmail.com,Sundargarh,English,Class 1-5 CHSE,Interactive and student-centered,499,Online,13,M.A
Meena Kumar,7724314552,meena.kumar@gmail.com,Dhenkanal,Geography,Class 6-10 all,Interactive and student-centered,339,Both,1,B.Sc
Deepak Ghosh,8177390706,deepak.ghosh@gmail.com,Angul,Statistics,Class 11-12 CHSE & CBSE,Interactive and student-centered,864,In-person,2,M.A
Rakesh Choudhury,7828882605,rakesh.choudhury@gmail.com,Puri,Statistics,Only 9th-10th CHSE & CBSE,Interactive and student-centered,683,In-person,13,PhD
Tanisha Patel,9450730467,tanisha.patel@gmail.com,Rayagada,Moral Science,Class 11-12 all,Interactive and student-centered,382,Both,5,M.Sc
Sapna Patra,7183763537,sapna.patra@gmail.com,Angul,Music,Class 6-10 CHSE,Interactive and student-centered,373,In-person,2,B.Ed
Ishaan Mahanti,7241832842,ishaan.mahanti@gmail.com,Bargarh,Accountancy,Only 9th-10th CBSE,Interactive and student-centered,996,In-person,8,PhD
Soni Mohapatra,7526485849,soni.mohapatra@gmail.com,Kandhamal,English,Class 11-12 ICSE,Interactive and student-centered,346,Online,13,M.A
Shreya Patra,9351097547,shreya.patra@gmail.com,Nayagarh,Dance,Class 11-12 CHSE & CBSE,Interactive and student-centered,405,In-person,11,M.A
Soni Kumar,8232524379,soni.kumar@gmail.com,Ganjam,General Science,Class 1-5 all,Interactive and student-centered,769,In-person,10,B.Ed
Nikita Dharam,7942591065,nikita.dharam@gmail.com,Balasore,History,Only 9th-10th ICSE,Interactive and student-centered,657,Both,19,B.Ed
Shivani Ray,8381890113,shivani.ray@gmail.com,Balasore,Environmental Studies,Only 9th-10th CBSE,Interactive and student-centered,591,Both,18,B.Ed
Aarushi Bhatt,7715527633,aarushi.bhatt@gmail.com,Khurda,Sociology,Class 11-12 ICSE,Interactive and student-centered,680,In-person,15,B.Ed
Rakesh Kumar,9314594198,rakesh.kumar@gmail.com,Deogarh,Computer Science,Only 9th-10th ICSE,Interactive and student-centered,876,In-person,13,PhD
Atharv Ranjan,8694991813,atharv.ranjan@gmail.com,Jagatsinghpur,Art and Craft,Only 9th-10th CHSE,Interactive and student-centered,651,Online,18,M.A
Nandini Sahani,8267637667,nandini.sahani@gmail.com,Dhenkanal,Psychology,Class 11-12 ICSE,Interactive and student-centered,661,In-person,13,B.Ed
Tanvi Mohapatra,9891913132,tanvi.mohapatra@gmail.com,Rayagada,Moral Science,Class 11-12 CHSE,Interactive and student-centered,629,In-person,17,M.A
Kanak Sahu,9815777254,kanak.sahu@gmail.com,Koraput,Informatics Practices,Class 6-10 ICSE,Interactive and student-centered,528,In-person,12,M.Sc
Indu Reddy,8644277262,indu.reddy@gmail.com,Bhadrak,Sociology,Class 11-12 CHSE & CBSE,Interactive and student-centered,803,In-person,6,M.A
Sonu Maheshwari,9933884983,sonu.maheshwari@gmail.com,Kandhamal,Sociology,Only 9th-10th CBSE,Interactive and student-centered,401,In-person,8,M.A
Tanu Bikash,8359936182,tanu.bikash@gmail.com,Sambalpur,Informatics Practices,Class 6-10 CHSE & CBSE,Interactive and student-centered,604,In-person,19,M.A
Shilpa Barik,8953812309,shilpa.barik@gmail.com,Dhenkanal,Sociology,Class 11-12 CHSE,Interactive and student-centered,871,Both,15,PhD
Mohit Mishra,8320862205,mohit.mishra@gmail.com,Keonjhar,Dance,Class 6-10 ICSE,Interactive and student-centered,748,Both,5,M.A
Tanu Sahu,9769013943,tanu.sahu@gmail.com,Bargarh,History,Class 6-10 all,Interactive and student-centered,397,In-person,3,M.A
Harish Rath,9410849274,harish.rath@gmail.com,Kendrapara,Economics,Class 1-5 all,Interactive and student-centered,755,In-person,6,M.A
Surendra Kumar,7974313951,surendra.kumar@gmail.com,Nabarangpur,Informatics Practices,Class 11-12 CHSE & CBSE,Interactive and student-centered,779,Both,3,B.Sc
Shyam Pradhan,8644797631,shyam.pradhan@gmail.com,Bhadrak,Music,Class 6-10 CHSE,Interactive and student-centered,707,In-person,8,PhD
Rishabh Choudhury,7123031407,rishabh.choudhury@gmail.com,Bargarh,Physics,Class 11-12 CBSE,Interactive and student-centered,731,Online,18,M.A
Kanak Pradhan,9412980687,kanak.pradhan@gmail.com,Keonjhar,Hindi,Class 1-5 CBSE,Interactive and student-centered,972,Both,1,PhD
Sanjay Kar,9821265368,sanjay.kar@gmail.com,Cuttack,English,Class 6-10 CBSE,Interactive and student-centered,989,Online,5,PhD
Sandhya Mishra,7892300996,sandhya.mishra@gmail.com,Ganjam,Psychology,Class 11-12 ICSE,Interactive and student-centered,301,In-person,14,M.A
Aayushi Bhoi,9277373537,aayushi.bhoi@gmail.com,Rayagada,Statistics,Only 9th-10th ICSE,Interactive and student-centered,999,Both,11,B.Ed
Shyam Bhatia,7616958915,shyam.bhatia@gmail.com,Angul,Economics,Only 9th-10th CHSE,Interactive and student-centered,506,In-person,3,B.Sc
Meghna Bansal,8913190852,meghna.bansal@gmail.com,Mayurbhanj,Social Studies,Class 11-12 CBSE,Interactive and student-centered,915,In-person,8,M.Sc
Bhavya Mohapatra,7100372695,bhavya.mohapatra@gmail.com,Balangir,Computer Science,Only 9th-10th CHSE & CBSE,Interactive and student-centered,798,In-person,9,PhD
Jivika Mishra,8253691732,jivika.mishra@gmail.com,Puri,Art and Craft,Class 6-10 CBSE,Interactive and student-centered,751,Both,5,B.Sc
Ganesh Dash,7640207047,ganesh.dash@gmail.com,Bolangir,Physical Education,Class 1-5 all,Interactive and student-centered,985,Both,17,PhD
Suhas Nayak,8583738773,suhas.nayak@gmail.com,Kendrapara,Physics,Only 9th-10th CBSE,Interactive and student-centered,617,In-person,16,M.Sc
Rohit Das,9109416640,rohit.das@gmail.com,Kendrapara,Social Studies,Class 1-5 ICSE,Interactive and student-centered,362,In-person,13,PhD
Damini Tripathy,9341898656,damini.tripathy@gmail.com,Sambalpur,Biology,Class 6-10 CBSE,Interactive and student-centered,651,In-person,20,B.Sc
Chhavi Srinivas,9807410451,chhavi.srinivas@gmail.com,Balasore,Geography,Only 9th-10th all,Interactive and student-centered,964,Online,6,M.Sc
Ayaan Nath,7116694264,ayaan.nath@gmail.com,Jagatsinghpur,Mathematics,Only 9th-10th ICSE,Interactive and student-centered,733,In-person,19,PhD
Shyam Khuntia,9490668929,shyam.khuntia@gmail.com,Nayagarh,Dance,Class 6-10 CHSE,Interactive and student-centered,982,Both,6,M.Sc
Mohan Bhanja,7401282070,mohan.bhanja@gmail.com,Nabarangpur,Physical Education,Class 11-12 all,Interactive and student-centered,917,In-person,2,B.Sc
Surya Sahu,9597989355,surya.sahu@gmail.com,Mayurbhanj,Chemistry,Class 6-10 all,Interactive and student-centered,794,Online,6,M.Sc
Anurag Dhal,8575084807,anurag.dhal@gmail.com,Jagatsinghpur,Dance,Class 1-5 ICSE,Interactive and student-centered,326,Online,2,B.Ed
Ayush Mahapatra,7716847575,ayush.mahapatra@gmail.com,Dhenkanal,Informatics Practices,Only 9th-10th CBSE,Interactive and student-centered,572,Both,8,B.Ed
Sanjay Ray,9935593767,sanjay.ray@gmail.com,Sambalpur,Sociology,Only 9th-10th CHSE & CBSE,Interactive and student-centered,369,Online,6,PhD
Mala Dharma,8818909404,mala.dharma@gmail.com,Sundargarh,Computer Science,Only 9th-10th ICSE,Interactive and student-centered,972,Online,20,M.A
Jayesh Bansal,8325142257,jayesh.bansal@gmail.com,Dhenkanal,Moral Science,Class 6-10 CHSE,Interactive and student-centered,625,Online,15,M.A
Keshav Sahu,7264303282,keshav.sahu@gmail.com,Deogarh,Computer Science,Class 6-10 all,Interactive and student-centered,584,Both,8,M.Sc
Tanvi Mohanty,9650132283,tanvi.mohanty@gmail.com,Jagatsinghpur,Economics,Class 11-12 CHSE & CBSE,Interactive and student-centered,686,In-person,13,PhD
Soumya Nayak,9402094487,soumya.nayak@gmail.com,Mayurbhanj,Hindi,Class 11-12 CBSE,Interactive and student-centered,878,In-person,9,M.A
Sandeep Barik,9440385611,sandeep.barik@gmail.com,Gajapati,History,Class 1-5 all,Interactive and student-centered,591,Both,3,PhD
Suresh Mohanty,7635906898,suresh.mohanty@gmail.com,Rayagada,English,Class 1-5 CHSE & CBSE,Interactive and student-centered,930,In-person,5,B.Sc
Hriday Dandapat,9117149627,hriday.dandapat@gmail.com,Balasore,Biology,Only 9th-10th ICSE,Interactive and student-centered,339,In-person,20,B.Sc
Seema Rani,7905488564,seema.rani@gmail.com,Koraput,Physical Education,Class 1-5 ICSE,Interactive and student-centered,428,Online,1,M.Sc
Darshan Mahanta,8185268668,darshan.mahanta@gmail.com,Ganjam,Statistics,Only 9th-10th CHSE & CBSE,Interactive and student-centered,422,Online,18,M.Sc
Soumya Patra,9471414856,soumya.patra@gmail.com,Cuttack,Moral Science,Class 1-5 ICSE,Interactive and student-centered,994,Both,2,PhD
Rakesh Rai,7646854945,rakesh.rai@gmail.com,Angul,Sociology,Class 6-10 ICSE,Interactive and student-centered,371,Both,15,M.Sc
Mitali Khuntia,7731135688,mitali.khuntia@gmail.com,Dhenkanal,Dance,Class 6-10 all,Interactive and student-centered,324,Online,19,PhD
Jivika Nayak,9817002925,jivika.nayak@gmail.com,Bolangir,Geography,Class 6-10 CBSE,Interactive and student-centered,375,Online,8,M.Sc
Jivika Baran,8590523774,jivika.baran@gmail.com,Jajpur,General Science,Only 9th-10th ICSE,Interactive and student-centered,937,Online,2,M.Sc
Rahul Khatua,7264253526,rahul.khatua@gmail.com,Jajpur,Physics,Class 11-12 all,Interactive and student-centered,919,In-person,4,B.Ed
Rohini Das,8403733761,rohini.das@gmail.com,Malkangiri,Art and Craft,Class 6-10 CBSE,Interactive and student-centered,961,Both,12,M.Sc
Amrita Thakur,9511580220,amrita.thakur@gmail.com,Rayagada,Physical Education,Class 1-5 all,Interactive and student-centered,510,Online,20,B.Ed
Seema Patel,7834531374,seema.patel@gmail.com,Ganjam,Physics,Only 9th-10th CHSE,Interactive and student-centered,898,Both,15,B.Ed
Keshav Mishra,7253422369,keshav.mishra@gmail.com,Rayagada,Art and Craft,Only 9th-10th ICSE,Interactive and student-centered,868,Online,13,B.Sc
Priyanka Nath,8207593550,priyanka.nath@gmail.com,Kandhamal,Mathematics,Class 1-5 ICSE,Interactive and student-centered,493,Online,18,B.Sc
Raghav Sahu,8364555258,raghav.sahu@gmail.com,Koraput,Sociology,Class 1-5 CHSE & CBSE,Interactive and student-centered,496,In-person,20,M.Sc
Soumya Dash,7761899285,soumya.dash@gmail.com,Rayagada,Accountancy,Class 1-5 ICSE,Interactive and student-centered,748,Both,6,PhD
Swati Jadhav,9152116220,swati.jadhav@gmail.com,Kalahandi,General Science,Only 9th-10th CHSE & CBSE,Interactive and student-centered,943,Both,12,M.Sc
Surbhi Mishra,9165647386,surbhi.mishra@gmail.com,Nabarangpur,General Science,Class 1-5 ICSE,Interactive and student-centered,745,In-person,19,PhD
Gitali Biswas,9286271053,gitali.biswas@gmail.com,Kandhamal,Psychology,Class 11-12 all,Interactive and student-centered,642,In-person,19,B.Sc
Nikita Patnaik,9353312165,nikita.patnaik@gmail.com,Rayagada,General Science,Only 9th-10th CBSE,Interactive and student-centered,368,Online,11,PhD
Ananya Nayak,7755597851,ananya.nayak@gmail.com,Khurda,Statistics,Class 1-5 CHSE & CBSE,Interactive and student-centered,619,Online,6,PhD
Sonali Choudhury,8912783959,sonali.choudhury@gmail.com,Keonjhar,Moral Science,Class 1-5 ICSE,Interactive and student-centered,338,Both,17,M.A
Gaurav Ghosh,9235268040,gaurav.ghosh@gmail.com,Angul,Accountancy,Class 11-12 CHSE & CBSE,Interactive and student-centered,465,In-person,15,M.Sc
Ekta Sahu,7287613396,ekta.sahu@gmail.com,Puri,Accountancy,Class 11-12 CBSE,Interactive and student-centered,447,Online,13,B.Ed
Subhash Swain,8855528825,subhash.swain@gmail.com,Bolangir,Biology,Class 6-10 CHSE,Interactive and student-centered,601,In-person,19,M.A
Gitali Kumar,8193199614,gitali.kumar@gmail.com,Ganjam,Social Studies,Class 6-10 ICSE,Interactive and student-centered,364,Online,16,M.A
Nandini Tiwari,7820664681,nandini.tiwari@gmail.com,Bhadrak,Art and Craft,Only 9th-10th CHSE,Interactive and student-centered,946,In-person,8,B.Sc
Rashi Mohapatra,8580976379,rashi.mohapatra@gmail.com,Nuapada,Physics,Class 1-5 ICSE,Interactive and student-centered,412,In-person,13,M.Sc
Gunjan Keshari,7817532342,gunjan.keshari@gmail.com,Mayurbhanj,Dance,Class 1-5 all,Interactive and student-centered,666,In-person,1,M.Sc
Kaveri Patra,8243231179,kaveri.patra@gmail.com,Nabarangpur,Art and Craft,Class 6-10 ICSE,Interactive and student-centered,669,Both,16,B.Sc
Muskan Baran,8188912952,muskan.baran@gmail.com,Puri,Geography,Class 11-12 CHSE,Interactive and student-centered,716,Online,3,M.A
Zoya Patel,9231478180,zoya.patel@gmail.com,Koraput,Business Studies,Only 9th-10th CHSE & CBSE,Interactive and student-centered,534,Online,3,B.Sc
Yogesh Mishra,9390627991,yogesh.mishra@gmail.com,Bolangir,Computer Science,Class 1-5 ICSE,Interactive and student-centered,826,Online,11,PhD
Gaurav Patra,9656948269,gaurav.patra@gmail.com,Malkangiri,Political Science,Class 6-10 CHSE & CBSE,Interactive and student-centered,861,Online,19,B.Ed
Shyam Patel,9183660071,shyam.patel@gmail.com,Dhenkanal,Mathematics,Only 9th-10th CHSE & CBSE,Interactive and student-centered,538,In-person,12,M.A
Nidhi Sahu,8783727730,nidhi.sahu@gmail.com,Khurda,Business Studies,Only 9th-10th CHSE & CBSE,Interactive and student-centered,719,Online,17,PhD
Rahul Dhar,8260303183,rahul.dhar@gmail.com,Koraput,Biology,Class 11-12 ICSE,Interactive and student-centered,985,In-person,12,PhD
Uday Bhoi,8796413971,uday.bhoi@gmail.com,Balasore,Statistics,Class 11-12 ICSE,Interactive and student-centered,339,Online,6,PhD
Akash Sahu,8447058855,akash.sahu@gmail.com,Kandhamal,Informatics Practices,Only 9th-10th all,Interactive and student-centered,869,In-person,16,B.Ed
Bhushan Rath,9808105873,bhushan.rath@gmail.com,Nabarangpur,Music,Class 11-12 CHSE,Interactive and student-centered,716,Both,6,B.Ed
Manju Bhanja,8111355821,manju.bhanja@gmail.com,Koraput,Accountancy,Class 11-12 ICSE,Interactive and student-centered,411,Both,3,M.A
Simran Mishra,7642123076,simran.mishra@gmail.com,Puri,Physics,Only 9th-10th CHSE,Interactive and student-centered,578,In-person,14,B.Sc
Avani Nanda,7867977849,avani.nanda@gmail.com,Sundargarh,Accountancy,Only 9th-10th CHSE,Interactive and student-centered,726,Both,2,B.Sc
Vishal Kumar,8291056267,vishal.kumar@gmail.com,Puri,Psychology,Class 6-10 all,Interactive and student-centered,477,In-person,2,B.Sc
Rakesh Reddy,7631426298,rakesh.reddy@gmail.com,Puri,Environmental Studies,Class 11-12 ICSE,Interactive and student-centered,512,Online,7,B.Ed
Shraddha Das,7861003716,shraddha.das@gmail.com,Nuapada,General Science,Class 1-5 ICSE,Interactive and student-centered,316,In-person,19,B.Sc
Ujjwal Bhanja,8711011432,ujjwal.bhanja@gmail.com,Puri,Social Studies,Class 11-12 CHSE,Interactive and student-centered,608,Both,15,M.A
Tarun Mallick,8254204096,tarun.mallick@gmail.com,Puri,Dance,Class 6-10 ICSE,Interactive and student-centered,347,Both,6,M.Sc
Kavita Sahu,9336636907,kavita.sahu@gmail.com,Cuttack,Music,Class 1-5 CBSE,Interactive and student-centered,865,In-person,11,M.Sc
Kavita Sahu,9595832307,kavita.sahu@gmail.com,Kalahandi,Economics,Only 9th-10th ICSE,Interactive and student-centered,380,Both,3,B.Ed
Hitesh Khatua,7348964326,hitesh.khatua@gmail.com,Keonjhar,Sociology,Class 6-10 CHSE & CBSE,Interactive and student-centered,688,Both,9,M.A
Karishma Sahu,8177835616,karishma.sahu@gmail.com,Nabarangpur,Music,Class 1-5 CHSE & CBSE,Interactive and student-centered,362,In-person,3,M.Sc
Vinod Rath,7394048524,vinod.rath@gmail.com,Puri,Music,Class 6-10 CHSE,Interactive and student-centered,420,Online,2,B.Ed
Alok Mishra,8728372243,alok.mishra@gmail.com,Sundargarh,Environmental Studies,Only 9th-10th CHSE & CBSE,Interactive and student-centered,703,Both,9,M.A
Aditi Swain,7862572888,aditi.swain@gmail.com,Dhenkanal,Geography,Class 11-12 CHSE & CBSE,Interactive and student-centered,794,Online,7,M.Sc
Sandeep Mahapatra,9860276502,sandeep.mahapatra@gmail.com,Keonjhar,Biology,Class 6-10 CBSE,Interactive and student-centered,529,Online,16,PhD
Varun Sahu,9847903661,varun.sahu@gmail.com,Jharsuguda,Informatics Practices,Class 6-10 CBSE,Interactive and student-centered,446,In-person,18,B.Ed
Vikas Dhar,7498863916,vikas.dhar@gmail.com,Malkangiri,Economics,Only 9th-10th CHSE,Interactive and student-centered,800,Online,6,B.Ed
Rakesh Kumar,9769687351,rakesh.kumar@gmail.com,Dhenkanal,Computer Science,Only 9th-10th all,Interactive and student-centered,320,Both,20,B.Ed
Geeta Kumar,9689203938,geeta.kumar@gmail.com,Sambalpur,Music,Class 6-10 ICSE,Interactive and student-centered,597,Online,19,M.A
Suman Rani,7757944792,suman.rani@gmail.com,Balangir,Accountancy,Class 11-12 CBSE,Interactive and student-centered,731,Both,18,B.Sc
Bipin Sahu,9214680204,bipin.sahu@gmail.com,Puri,Political Science,Class 6-10 CHSE,Interactive and student-centered,552,Online,10,PhD
Daksh Bharati,8774398376,daksh.bharati@gmail.com,Sundargarh,Mathematics,Class 1-5 all,Interactive and student-centered,878,In-person,9,B.Ed
Geeta Ray,8534682314,geeta.ray@gmail.com,Sundargarh,English,Only 9th-10th ICSE,Interactive and student-centered,333,Both,9,B.Sc
Yogesh Ranjan,7149680145,yogesh.ranjan@gmail.com,Dhenkanal,Environmental Studies,Class 6-10 all,Interactive and student-centered,868,In-person,6,PhD
Anirudh Panda,8708262255,anirudh.panda@gmail.com,Sundargarh,Chemistry,Class 1-5 ICSE,Interactive and student-centered,934,In-person,19,M.Sc
Shreya Basu,7423397926,shreya.basu@gmail.com,Koraput,Geography,Class 11-12 all,Interactive and student-centered,417,Online,17,B.Ed
Krishna Kumar,9276711845,krishna.kumar@gmail.com,Kendrapara,Mathematics,Class 6-10 CHSE & CBSE,Interactive and student-centered,516,In-person,14,M.A
Sandhya Pradhan,8583006515,sandhya.pradhan@gmail.com,Kalahandi,Physical Education,Only 9th-10th ICSE,Interactive and student-centered,483,Both,8,PhD
Pritam Patel,7926567037,pritam.patel@gmail.com,Nuapada,Geography,Class 6-10 CHSE & CBSE,Interactive and student-centered,892,Online,14,B.Ed
Sanjay Mahajan,8505806388,sanjay.mahajan@gmail.com,Bolangir,Economics,Class 11-12 CBSE,Interactive and student-centered,508,Both,9,B.Ed
Pritam Nanda,9722575769,pritam.nanda@gmail.com,Malkangiri,Physics,Only 9th-10th ICSE,Interactive and student-centered,305,In-person,18,PhD
Reena Mahanti,8482891258,reena.mahanti@gmail.com,Mayurbhanj,Art and Craft,Class 1-5 CBSE,Interactive and student-centered,408,Both,15,PhD
Aditi Rath,8133064409,aditi.rath@gmail.com,Balasore,Geography,Class 6-10 ICSE,Interactive and student-centered,302,Both,3,B.Ed
Sagar Bhanja,7164159516,sagar.bhanja@gmail.com,Gajapati,English,Class 1-5 all,Interactive and student-centered,752,In-person,2,B.Ed
Soni Samal,8297631013,soni.samal@gmail.com,Jajpur,Computer Science,Class 1-5 ICSE,Interactive and student-centered,505,In-person,19,M.A
Trisha Rath,9604086981,trisha.rath@gmail.com,Jajpur,Chemistry,Class 1-5 CHSE,Interactive and student-centered,631,Online,1,PhD
Shyam Sahu,8255798990,shyam.sahu@gmail.com,Gajapati,Economics,Class 1-5 ICSE,Interactive and student-centered,815,Both,14,M.A
Aditya Mohapatra,9337671757,aditya.mohapatra@gmail.com,Keonjhar,Hindi,Class 1-5 CHSE,Interactive and student-centered,902,Both,14,B.Sc
Devendra Jena,9184052886,devendra.jena@gmail.com,Deogarh,Biology,Class 6-10 CHSE,Interactive and student-centered,667,Both,6,B.Sc
Nikhil Pradhan,8937486300,nikhil.pradhan@gmail.com,Deogarh,Accountancy,Class 11-12 ICSE,Interactive and student-centered,518,Online,14,B.Ed
Bipin Das,7299477403,bipin.das@gmail.com,Kendrapara,Economics,Class 6-10 ICSE,Interactive and student-centered,846,In-person,15,M.A
Dinesh Barik,7708560822,dinesh.barik@gmail.com,Bolangir,Mathematics,Class 6-10 CHSE & CBSE,Interactive and student-centered,545,Online,4,B.Ed
Namita Das,8305473614,namita.das@gmail.com,Dhenkanal,Art and Craft,Class 11-12 CBSE,Interactive and student-centered,396,Online,5,PhD
Surbhi Mohapatra,8675474753,surbhi.mohapatra@gmail.com,Keonjhar,Music,Class 11-12 ICSE,Interactive and student-centered,919,Both,17,M.A
Kiran Thakur,7225815707,kiran.thakur@gmail.com,Rayagada,Biology,Class 6-10 CBSE,Interactive and student-centered,677,Online,15,PhD
Uma Ray,8303285346,uma.ray@gmail.com,Keonjhar,Hindi,Class 1-5 CHSE,Interactive and student-centered,890,Online,12,B.Ed
Neha Nayak,8805814429,neha.nayak@gmail.com,Sambalpur,History,Class 1-5 ICSE,Interactive and student-centered,985,Both,18,M.A
Pranav Panda,8194566422,pranav.panda@gmail.com,Dhenkanal,Dance,Class 11-12 CHSE & CBSE,Interactive and student-centered,420,Online,13,B.Ed
Pooja Patel,7368011715,pooja.patel@gmail.com,Balangir,Hindi,Class 11-12 ICSE,Interactive and student-centered,817,In-person,20,M.A
Tejashwi Choudhury,9149806257,tejashwi.choudhury@gmail.com,Dhenkanal,Hindi,Class 6-10 ICSE,Interactive and student-centered,979,Online,19,PhD
Joshi Mahanti,9358600469,joshi.mahanti@gmail.com,Kendrapara,Art and Craft,Class 1-5 CBSE,Interactive and student-centered,324,Both,10,B.Ed
Priyank Biswal,9160008480,priyank.biswal@gmail.com,Sundargarh,Moral Science,Class 11-12 CBSE,Interactive and student-centered,556,In-person,8,PhD
Abhishek Mohapatra,8222326828,abhishek.mohapatra@gmail.com,Balasore,Social Studies,Class 1-5 CHSE,Interactive and student-centered,348,Both,7,B.Sc
Vinod Bhatia,9904819095,vinod.bhatia@gmail.com,Koraput,Hindi,Only 9th-10th CHSE & CBSE,Interactive and student-centered,858,Both,7,PhD
Dhruv Jena,9350400875,dhruv.jena@gmail.com,Gajapati,Music,Only 9th-10th ICSE,Interactive and student-centered,456,Both,1,B.Ed
Aayushi Sahani,9575107080,aayushi.sahani@gmail.com,Ganjam,Computer Science,Class 1-5 ICSE,Interactive and student-centered,680,Online,17,M.Sc
Sarita Sahu,9129139162,sarita.sahu@gmail.com,Sundargarh,Mathematics,Class 1-5 ICSE,Interactive and student-centered,398,In-person,20,M.Sc
Nikita Das,9337446401,nikita.das@gmail.com,Puri,Social Studies,Only 9th-10th all,Interactive and student-centered,856,Both,12,M.A
Tejas Mahapatra,8860099849,tejas.mahapatra@gmail.com,Koraput,History,Class 1-5 ICSE,Interactive and student-centered,492,Both,13,M.Sc
Himanshu Ranjan,8590386158,himanshu.ranjan@gmail.com,Kandhamal,Moral Science,Class 6-10 ICSE,Interactive and student-centered,469,Online,11,PhD
Yash Maheshwari,7185984372,yash.maheshwari@gmail.com,Mayurbhanj,Psychology,Only 9th-10th ICSE,Interactive and student-centered,728,In-person,18,PhD
Aashish Rathi,7313347770,aashish.rathi@gmail.com,Gajapati,Moral Science,Class 1-5 all,Interactive and student-centered,804,Online,3,PhD
Tanvi Barik,7255277131,tanvi.barik@gmail.com,Bhadrak,Biology,Class 1-5 CHSE,Interactive and student-centered,685,Online,11,B.Sc
Sagar Biswas,9294358158,sagar.biswas@gmail.com,Ganjam,Sociology,Class 6-10 CBSE,Interactive and student-centered,934,Both,2,B.Sc
Tanu Nanda,9895454387,tanu.nanda@gmail.com,Ganjam,Art and Craft,Class 6-10 CBSE,Interactive and student-centered,525,Online,3,PhD
Srishti Swain,9724127004,srishti.swain@gmail.com,Sambalpur,Music,Only 9th-10th ICSE,Interactive and student-centered,938,In-person,5,B.Sc
Shantanu Swain,8220880685,shantanu.swain@gmail.com,Dhenkanal,Computer Science,Class 1-5 CBSE,Interactive and student-centered,945,Online,6,PhD
Komal Panda,8245996969,komal.panda@gmail.com,Malkangiri,Social Studies,Class 6-10 all,Interactive and student-centered,850,Online,6,M.Sc
Suhas Dash,8975360731,suhas.dash@gmail.com,Malkangiri,Chemistry,Class 1-5 ICSE,Interactive and student-centered,372,Online,12,M.A
Riya Dash,8182686983,riya.dash@gmail.com,Gajapati,Biology,Class 6-10 CHSE & CBSE,Interactive and student-centered,637,Both,11,M.A
Aisha Sen,8595337888,aisha.sen@gmail.com,Kendrapara,Environmental Studies,Class 6-10 all,Interactive and student-centered,884,Both,2,M.Sc
Urvashi Sahu,8729526581,urvashi.sahu@gmail.com,Jajpur,Dance,Class 1-5 CBSE,Interactive and student-centered,672,In-person,18,B.Ed
Hriday Sahu,7802765437,hriday.sahu@gmail.com,Keonjhar,Informatics Practices,Class 11-12 CHSE,Interactive and student-centered,597,Online,8,M.Sc
Sanjoy Thakur,8825488570,sanjoy.thakur@gmail.com,Angul,Environmental Studies,Only 9th-10th CHSE,Interactive and student-centered,308,Both,1,PhD
